"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",5
"9",6
"10",3
"11",7
"12",1
"13",5
"14",7
"15",5
"16",7
"17",8
"18",9
"19",5
"20",9
"21",4
"22",3
"23",5
"24",3
"25",4
"26",10
"27",7
"28",3
"29",11
"30",5
"31",1
"32",12
"33",4
"34",5
"35",5
"36",7
"37",5
"38",5
"39",4
"40",13
"41",11
"42",11
"43",5
"44",4
"45",1
"46",5
"47",4
"48",3
"49",10
"50",14
"51",4
"52",4
"53",3
"54",15
"55",7
"56",7
"57",14
"58",5
"59",5
"60",3
"61",13
"62",3
"63",16
"64",7
"65",5
"66",17
"67",5
"68",3
"69",7
"70",5
"71",4
"72",6
"73",5
"74",9
"75",5
"76",7
"77",7
"78",4
"79",5
"80",2
"81",9
"82",4
"83",18
"84",7
"85",4
"86",16
"87",7
"88",15
"89",10
"90",6
"91",10
"92",3
"93",5
"94",18
"95",3
"96",4
"97",11
"98",5
"99",3
"100",6
"101",10
"102",5
"103",7
"104",4
"105",4
"106",5
"107",4
"108",3
"109",17
"110",3
"111",1
"112",3
"113",4
"114",15
"115",5
"116",4
"117",3
"118",19
"119",14
"120",3
"121",17
"122",4
"123",11
"124",7
"125",5
"126",7
"127",4
"128",5
"129",3
"130",4
"131",5
"132",7
"133",3
"134",3
"135",1
"136",3
"137",3
"138",10
"139",4
"140",12
"141",3
"142",17
"143",14
"144",3
"145",3
"146",5
"147",20
"148",16
"149",7
"150",18
"151",5
"152",4
"153",5
"154",7
"155",5
"156",4
"157",6
"158",5
"159",10
"160",6
"161",1
"162",1
"163",6
"164",5
"165",5
"166",3
"167",20
"168",16
"169",21
"170",5
"171",17
"172",17
"173",4
"174",12
"175",5
"176",5
"177",1
"178",10
"179",7
"180",7
"181",10
"182",18
"183",5
"184",3
"185",3
"186",11
"187",3
"188",5
"189",7
"190",5
"191",8
"192",5
"193",7
"194",3
"195",18
"196",2
"197",4
"198",22
"199",6
"200",5
"201",5
"202",23
"203",4
"204",4
"205",5
"206",10
"207",7
"208",5
"209",3
"210",5
"211",7
"212",12
"213",24
"214",6
"215",7
"216",11
"217",3
"218",10
"219",12
"220",7
"221",6
"222",6
"223",7
"224",25
"225",22
"226",7
"227",4
"228",4
"229",13
"230",7
"231",4
"232",6
"233",5
"234",22
"235",14
"236",7
"237",4
"238",7
"239",26
"240",22
"241",5
"242",4
"243",6
"244",25
"245",5
"246",3
"247",5
"248",1
"249",1
"250",1
"251",5
"252",7
"253",6
"254",5
"255",5
"256",3
"257",27
"258",17
"259",4
"260",1
"261",7
"262",4
"263",3
"264",4
"265",6
"266",5
"267",2
"268",4
"269",4
"270",6
"271",5
"272",5
"273",7
"274",7
"275",5
"276",11
"277",24
"278",6
"279",5
"280",1
"281",7
"282",16
"283",17
"284",3
"285",17
"286",11
"287",27
"288",7
"289",4
"290",12
"291",17
"292",17
"293",1
"294",3
"295",5
"296",3
"297",10
"298",9
"299",4
"300",14
"301",12
"302",7
"303",7
"304",17
"305",7
"306",6
"307",6
"308",10
"309",10
"310",27
"311",5
"312",17
"313",2
"314",3
"315",5
"316",17
"317",5
"318",3
"319",11
"320",6
"321",5
"322",5
"323",5
"324",3
"325",7
"326",3
"327",5
"328",7
"329",25
"330",3
"331",7
"332",7
"333",1
"334",14
"335",7
"336",16
"337",4
"338",10
"339",4
"340",16
"341",1
"342",5
"343",22
"344",4
"345",4
"346",7
"347",5
"348",10
"349",16
"350",4
"351",6
"352",7
"353",6
"354",11
"355",1
"356",3
"357",5
"358",10
"359",3
"360",1
"361",11
"362",4
"363",5
"364",3
"365",16
"366",10
"367",3
"368",5
"369",6
"370",7
"371",3
"372",7
"373",3
"374",22
"375",7
"376",17
"377",6
"378",11
"379",5
"380",17
"381",5
"382",3
"383",7
"384",3
"385",17
"386",5
"387",9
"388",5
"389",21
"390",17
"391",11
"392",17
"393",23
"394",7
"395",11
"396",22
"397",15
"398",1
"399",5
"400",5
"401",7
"402",17
"403",10
"404",25
"405",6
"406",5
"407",3
"408",5
"409",7
"410",16
"411",5
"412",4
"413",1
"414",7
"415",5
"416",7
"417",6
"418",15
"419",22
"420",4
"421",5
"422",7
"423",5
"424",3
"425",17
"426",7
"427",4
"428",18
"429",7
"430",5
"431",24
"432",5
"433",5
"434",3
"435",26
"436",3
"437",17
"438",5
"439",7
"440",3
"441",17
"442",5
"443",5
"444",7
"445",20
"446",3
"447",7
"448",6
"449",1
"450",7
"451",7
"452",10
