"","x"
"1",1
"2",1
"3",1
"4",2
"5",3
"6",1
"7",4
"8",5
"9",6
"10",1
"11",5
"12",4
"13",6
"14",6
"15",7
"16",5
"17",4
"18",5
"19",1
"20",4
"21",6
"22",3
"23",5
"24",8
"25",5
"26",1
"27",1
"28",6
"29",9
"30",8
"31",3
"32",1
"33",5
"34",10
"35",4
"36",11
"37",1
"38",1
"39",12
"40",9
"41",11
"42",12
"43",3
"44",3
"45",1
"46",3
"47",5
"48",12
"49",6
"50",5
"51",1
"52",1
"53",5
"54",3
"55",1
"56",5
"57",1
"58",7
"59",1
"60",11
"61",1
"62",5
"63",9
"64",6
"65",11
"66",6
"67",3
"68",11
"69",1
"70",7
"71",11
"72",9
"73",4
"74",11
"75",3
"76",8
"77",3
"78",1
"79",1
"80",11
"81",1
"82",4
"83",11
"84",1
"85",10
"86",5
"87",3
"88",1
"89",1
"90",1
"91",1
"92",3
"93",1
"94",3
"95",1
"96",12
"97",9
"98",9
"99",1
"100",7
"101",11
"102",6
"103",9
"104",1
"105",5
"106",1
"107",12
"108",1
"109",3
"110",11
"111",1
"112",1
"113",1
"114",1
"115",3
"116",1
"117",1
"118",10
"119",5
"120",9
"121",2
"122",5
"123",1
"124",1
"125",6
"126",3
"127",11
"128",3
"129",6
"130",4
"131",5
"132",1
"133",3
"134",1
"135",1
"136",1
"137",1
"138",5
"139",5
"140",3
"141",8
"142",3
"143",1
"144",1
"145",1
"146",5
"147",1
"148",1
"149",1
"150",3
"151",9
"152",8
"153",1
"154",9
"155",5
"156",1
"157",9
"158",9
"159",1
"160",6
"161",5
"162",4
"163",10
"164",3
"165",4
"166",7
"167",4
"168",5
"169",5
"170",9
"171",5
"172",6
"173",1
"174",3
"175",5
"176",11
"177",5
"178",3
"179",5
"180",8
"181",1
"182",5
"183",1
"184",11
"185",1
"186",6
"187",1
"188",5
"189",5
"190",12
"191",4
"192",1
"193",1
"194",8
"195",11
"196",1
"197",1
"198",10
"199",10
"200",3
"201",1
"202",1
"203",1
"204",1
"205",1
"206",4
"207",9
"208",5
"209",10
"210",11
"211",6
"212",5
"213",7
"214",3
"215",11
"216",1
"217",8
"218",1
"219",11
"220",8
"221",11
"222",5
"223",11
"224",1
"225",1
"226",3
"227",1
"228",1
"229",9
"230",5
"231",5
"232",11
"233",11
"234",8
"235",1
"236",4
"237",1
"238",3
"239",1
"240",1
"241",5
"242",1
"243",3
"244",12
"245",1
"246",10
"247",1
"248",1
"249",1
"250",6
"251",6
"252",1
"253",5
"254",12
"255",2
"256",12
"257",9
"258",1
"259",3
"260",1
"261",5
"262",1
"263",11
"264",7
"265",1
"266",11
"267",9
"268",3
"269",7
"270",8
"271",1
"272",9
"273",11
"274",3
"275",5
"276",1
"277",1
"278",9
"279",3
"280",5
"281",1
"282",3
"283",6
"284",5
"285",3
"286",5
"287",10
"288",7
"289",1
"290",1
"291",3
"292",12
"293",9
"294",3
"295",3
"296",9
"297",3
"298",4
"299",1
"300",5
"301",1
"302",3
"303",12
"304",1
"305",1
"306",1
"307",9
"308",1
"309",9
"310",3
"311",3
"312",1
"313",5
"314",3
"315",5
"316",5
"317",11
"318",1
"319",10
"320",3
"321",1
"322",1
"323",1
"324",4
"325",5
"326",5
"327",1
"328",1
"329",1
"330",1
"331",9
"332",11
"333",4
"334",10
"335",3
"336",1
"337",1
"338",1
"339",3
"340",1
"341",9
"342",1
"343",5
"344",3
"345",9
"346",5
"347",3
"348",9
"349",10
"350",3
"351",12
"352",5
"353",3
"354",10
"355",6
"356",7
"357",5
"358",5
"359",1
"360",1
"361",1
"362",1
"363",3
"364",1
"365",6
"366",4
"367",1
"368",10
"369",1
"370",11
"371",1
"372",1
"373",5
"374",1
"375",9
"376",1
"377",11
"378",1
"379",3
"380",1
"381",1
"382",10
"383",1
"384",5
"385",5
"386",1
"387",3
"388",5
"389",12
"390",8
"391",1
"392",1
"393",1
"394",6
"395",12
"396",5
"397",1
"398",4
"399",9
"400",4
"401",6
"402",3
"403",3
"404",12
"405",3
"406",1
"407",1
"408",5
"409",1
"410",9
"411",1
"412",5
"413",1
"414",1
"415",13
"416",12
"417",11
"418",3
"419",1
"420",1
"421",1
"422",1
"423",5
"424",2
"425",3
"426",5
"427",9
"428",1
"429",4
"430",6
"431",1
"432",11
"433",9
"434",1
"435",5
"436",2
"437",5
"438",1
"439",11
"440",1
"441",1
"442",5
"443",11
"444",1
"445",1
"446",1
"447",4
"448",10
"449",3
"450",2
"451",4
"452",1
"453",5
"454",11
"455",1
"456",1
"457",1
"458",12
"459",6
"460",3
"461",1
"462",1
"463",6
"464",1
"465",1
"466",4
"467",11
"468",9
"469",1
"470",6
"471",6
"472",5
"473",1
"474",3
"475",1
"476",9
"477",1
"478",10
"479",10
"480",1
"481",1
